buffer only,,DM full,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
629.9932251,-0.0001265639439,629.9932251,0.003688423196,
629.0020142,0.0003332284396,629.0020142,0.00385517301,
628.010498,-6.983472849E-005,628.010498,0.003720117966,
626.9819336,0.0001855125738,626.9819336,0.003932171967,
625.9898071,0.0001051097497,625.9898071,0.003801114624,
624.9974365,-0.0001370704558,624.9974365,0.003975404892,
624.0047607,6.244144606E-005,624.0047607,0.003905502846,
623.0119019,-0.000141521421,623.0119019,0.003754478414,
621.9819336,0.00017950451,621.9819336,0.003886096179,
620.9884644,-0.0002136619878,620.9884644,0.003815059317,
619.9946899,-0.0001892369619,619.9946899,0.004000850488,
619.0006714,-0.0001436433668,619.0006714,0.003951737192,
618.0064087,0.0001700782304,618.0064087,0.004272196908,
617.0117798,0.0001278437267,617.0117798,0.004027604125,
616.0169678,-0.0002077628451,616.0169678,0.004003411159,
614.9850464,-9.390414198E-005,614.9850464,0.004027865361,
613.989624,0.0002300577471,613.989624,0.004294365644,
612.9938965,-6.615949678E-005,612.9938965,0.004026167095,
611.9980469,-3.013022251E-005,611.9980469,0.004279176705,
611.0018311,-8.520824485E-005,611.0018311,0.004442884587,
610.0054321,-0.0001100531954,610.0054321,0.004474713001,
609.008606,-9.566399967E-005,609.008606,0.004315646831,
608.0116577,-0.0002012426557,608.0116577,0.004473091103,
607.0144043,-0.0002449674648,607.0144043,0.004350184929,
606.0169067,-2.78524094E-005,606.0169067,0.004822099116,
604.9821167,-5.21829752E-005,604.9821167,0.004731831141,
603.9840088,-0.0002217343572,603.9840088,0.004815058317,
602.9857178,3.709617522E-005,602.9857178,0.004946526606,
601.9870605,-5.399477232E-005,601.9870605,0.00502584083,
600.9881592,-3.416813342E-005,600.9881592,0.005135212559,
599.9890137,-0.0002195092966,599.9890137,0.00501015503,
598.989624,-0.0001108295764,598.989624,0.005675666034,
597.9899902,-4.353801705E-005,597.9899902,0.005582598504,
596.9899902,-6.517597649E-005,596.9899902,0.005774158053,
595.9899292,2.190008126E-005,595.9899292,0.005908410065,
594.9893799,-7.816858852E-005,594.9893799,0.006004434545,
593.9887085,0.0002247224475,593.9887085,0.006324968301,
592.9877319,7.124403055E-005,592.9877319,0.006287147291,
591.9864502,-0.0001941531227,591.9864502,0.006429387257,
590.9849854,5.902040812E-006,590.9849854,0.007042536512,
589.9832153,-2.868070624E-005,589.9832153,0.006994708907,
589.0183105,-9.385238081E-005,589.0183105,0.007006652188,
588.0160522,4.320582957E-005,588.0160522,0.007179655135,
587.0135498,-6.931708776E-005,587.0135498,0.007198472507,
586.0107422,2.503245196E-005,586.0107422,0.007386770099,
585.0076904,1.208891535E-005,585.0076904,0.007663270924,
584.0043945,-6.175952876E-005,584.0043945,0.007626228966,
583.0008545,-0.0003434744722,583.0008545,0.007894130424,
581.9970093,-0.0002677336743,581.9970093,0.007998926565,
580.992981,-0.0003283687693,580.992981,0.008205061778,
579.9886475,-0.0003180738131,579.9886475,0.008212606423,
578.9840698,-5.534067532E-005,578.9840698,0.008313996717,
578.0164795,-3.214918252E-005,578.0164795,0.008533691987,
577.0114136,-0.0002278920292,577.0114136,0.008531078696,
576.0060425,-0.0001280131255,576.0060425,0.008866270073,
575.0004883,-7.459695189E-005,575.0004883,0.008755848743,
573.9946899,-0.0001064300595,573.9946899,0.008926484734,
572.9885254,8.338670887E-005,572.9885254,0.00912039727,
571.9821777,-2.852540092E-005,571.9821777,0.009095338173,
571.0129395,-5.937835158E-005,571.0129395,0.009133826941,
570.0061035,3.155614104E-005,570.0061035,0.009313260205,
568.9990234,-0.0002183708857,568.9990234,0.00912330579,
567.9916992,3.197034675E-005,567.9916992,0.009209467098,
566.9840698,-0.0001284271857,566.9840698,0.00929630734,
566.0135498,-0.0001786282082,566.0135498,0.00954528898,
565.0054932,-0.0002347740374,565.0054932,0.009403744712,
563.9971924,-0.0003090202808,563.9971924,0.009449033998,
562.9885864,-8.236134454E-005,562.9885864,0.009673327208,
562.0171509,-0.000130497443,562.0171509,0.009736566804,
561.0081177,-0.0001163159613,561.0081177,0.009978992864,
559.9988403,-0.0002223035553,559.9988403,0.009884442203,
558.9892578,-1.75503319E-005,558.9892578,0.01001398452,
558.0168457,6.453851529E-005,558.0168457,0.01030949969,
557.006897,-0.0001231997303,557.006897,0.0101259714,
555.996582,-8.189547952E-005,555.996582,0.01026565768,
554.9860229,-0.0001692612423,554.9860229,0.0101668844,
554.0127563,1.744749352E-005,554.0127563,0.01056312025,
553.00177,-2.878424311E-005,553.00177,0.0105913952,
551.9905396,-3.737772931E-005,551.9905396,0.01059887558,
551.0164795,-7.407932571E-005,551.0164795,0.01077493466,
550.0047607,-0.0001959643268,550.0047607,0.01080967207,
548.9928589,-2.717941607E-005,548.9928589,0.01089019608,
548.0180054,7.243498112E-005,548.0180054,0.01103254501,
